Parameter	Type	Unit	Description	Sources
escort.lls.battery.voltage	number	celsius	Escort LLS Temperature	AVL ID 271, AVL ID 274, AVL ID 277, AVL ID 280
escort.lls.temperature	number	celsius	Escort LLS Temperature	AVL ID 269, AVL ID 272, AVL ID 275, AVL ID 278
escort.lls.value	number	N/A	Escort LLS fuel level	AVL ID 270, AVL ID 273, AVL ID 276, AVL ID 279
event.code	string	N/A	Protocol-specific event code string	AVL ID 342
event.enum	number	N/A	Protocol-specific event code	N/A
event.priority.enum	number	N/A	Event priority enum	N/A
external.battery.capacity	number	percentage	Current residual capacity percentage of external battery	AVL ID 375
external.battery.firmware.version	string	N/A	Firmware version of teltonika external battery	AVL ID 370
external.battery.level	number	percentage	External battery level	AVL ID 375
external.battery.status	boolean	N/A	External battery status	AVL ID 346
external.battery.temperature	number	celsius	External battery temperature	AVL ID 365, AVL ID 367
external.battery.voltage	number	volts	External battery voltage	AVL ID 351
external.powersource.status	boolean	N/A	External power source connection status	AVL ID 252
external.powersource.voltage	number	volts	External power voltage	AVL ID 66, AVL ID 800
external.sensor.temperature	number	degrees	External sensor temperature	AVL ID 390...395
extnav.position.speed	number	km/h	External receiver instant speed at position detection moment	AVL ID 355
factory.alarm.actuated.status	boolean	N/A	Factory-installed alarm system is actuated (is in panic mode) status	AVL ID 132, AVL ID 47, AVL ID 517, AVL ID 918
factory.alarm.emulated.status	boolean	N/A	Factory-installed alarm system is emulated by module status	AVL ID 132, AVL ID 47, AVL ID 517, AVL ID 919
fms.active.driver.id	string	N/A	FMS Eco driving active driver ID	AVL ID 12001
fms.adblue.state.enum	number	N/A	FMS AdBlue status: 0 - Off, 1 - Cond. Red, 2 - Cond. Yellow, 3 - Cond. info	AVL ID 229
fms.braking.fuel.used	number	liters	FMS Eco driving Braking fuel used	AVL ID 12017
fms.braking.mileage	number	km	FMS Eco driving Braking distance	AVL ID 12016
fms.braking.number	number	N/A	FMS Eco driving Braking count	AVL ID 12019
fms.braking.time	number	seconds	FMS Eco driving Braking time	AVL ID 12018
fms.coasting.fuel.used	number	liters	FMS Eco driving coasting fuel used	AVL ID 12011
fms.coasting.mileage	number	km	FMS Eco driving coasting distance	AVL ID 12010
fms.coasting.time	number	seconds	FMS Eco driving coasting time	AVL ID 12012
fms.cruise.fuel.used	number	liters	FMS Eco driving Cruise fuel used	AVL ID 12024
fms.cruise.mileage	number	km	FMS Eco driving Cruise distance	AVL ID 12023
fms.cruise.time	number	seconds	FMS Eco driving Cruise time	AVL ID 12025
fms.diagnostics.supported	number	N/A	Indicates if FMS Gateway supports diagnositcs messages to FMS network. 0 - Diagnostics is not supported, 1 - Diagnostics is supported, 2 - Reserved, 3 - Do not care	AVL ID 110
fms.driving.fuel.used	number	liters	FMS Eco driving fuel used while driving	AVL ID 12032
fms.ecoroll.fuel.used	number	liters	FMS Eco driving EcoRoll fuel used	AVL ID 12014
fms.ecoroll.mileage	number	km	FMS Eco driving EcoRoll distance	AVL ID 12013
fms.ecoroll.time	number	seconds	FMS Eco driving EcoRoll time	AVL ID 12015
fms.engine.load.fuel.used	number	liters	FMS Eco driving fuel used while engine load	AVL ID 12034
fms.event.enum	number	N/A	FMS Eco driving event IO ID	AVL ID 12000
fms.event.number	number	N/A	FMS Eco driving event counter	AVL ID 12003
fms.fuel.used.braking.range	number	liters	FMS Eco driving fuel used indexed parameter for braking range 1 to 10	AVL ID 12200...12209
fms.fuel.used.rpm.range	number	liters	FMS Eco driving fuel used indexed parameter for RPM range 1 to 10	AVL ID 12140...12149
fms.fuel.used.speed.range	number	liters	FMS Eco driving fuel used indexed parameter for speed range 1 to 10	AVL ID 12110...12119
fms.fuel.used.torque.range	number	liters	FMS Eco driving fuel used indexed parameter for torque range 1 to 10	AVL ID 12170...12179
fms.handling.info	number	N/A	FMS handling info	AVL ID 124
fms.harsh.acceleration.number	number	N/A	FMS Eco driving harsh acceleration count	AVL ID 12053
fms.harsh.braking.number	number	N/A	FMS Eco driving harsh braking count	AVL ID 12054
fms.harsh.cornering.number	number	N/A	FMS Eco driving harsh cornering count	AVL ID 12055
fms.idle.fuel.used	number	liters	FMS Eco driving fuel used while idling	AVL ID 12033
fms.long.stops.number	number	N/A	FMS Eco driving long stops count	AVL ID 12051
fms.mileage.braking.range	number	km	FMS Eco driving distance indexed parameter for braking range 1 to 10	AVL ID 12190...12199
fms.mileage.rpm.range	number	km	FMS Eco driving distance indexed parameter for RPM range 1 to 10	AVL ID 12130...12139
fms.mileage.speed.range	number	km	FMS Eco driving distance indexed parameter for speed range 1 to 10	AVL ID 12100...12109
fms.mileage.torque.range	number	km	FMS Eco driving distance indexed parameter for torque range 1 to 10	AVL ID 12160...12169
fms.movement.direction	number	N/A	FMS element direction indicator: 0 - Vehicle is moving Forward, 1 - Reverse	AVL ID 122
fms.parking.brake.number	number	N/A	FMS Eco driving parking brake count	AVL ID 12052
fms.pto.fuel.used	number	liters	FMS Eco driving PTO fuel used	AVL ID 12030
fms.pto.mileage	number	km	FMS Eco driving PTO distance	AVL ID 12029
fms.pto.time	number	seconds	FMS Eco driving PTO time	AVL ID 12031
fms.requests.supported	number	N/A	Indicates if FMS Gateway will response to requests from FMS network. 0 - Requests are not supported, 1 - Requests are supported, 2 - Reserved, 3 - Do not care	AVL ID 111
fms.retarder.fuel.used	number	liters	FMS Eco driving Retarder fuel used	AVL ID 12021
fms.retarder.mileage	number	km	FMS Eco driving Retarder distance	AVL ID 12020
fms.retarder.time	number	seconds	FMS Eco driving Retarder time	AVL ID 12022
fms.short.stops.number	number	N/A	FMS Eco driving short stops count	AVL ID 12050
fms.software.version	string	N/A	Issue level of FMS-standard document the software included into FMS gateway supports	AVL ID 109
fms.system.event	number	N/A	FMS system event	AVL ID 125
fms.tacho.performance	number	N/A	FMS element Tachograph Performance	AVL ID 123
fms.tell.tale	string	N/A	FMS Tell Tale index parameter in HEX string view	AVL ID 10428, AVL ID 10429, AVL ID 10430, AVL ID 10431, AVL ID 13259
fms.time.braking.range	number	seconds	FMS Eco driving time indexed parameter for braking range 1 to 10	AVL ID 12210...12219
fms.time.rpm.range	number	seconds	FMS Eco driving time indexed parameter for RPM range 1 to 10	AVL ID 12150...12159
fms.time.speed.range	number	seconds	FMS Eco driving time indexed parameter for speed range 1 to 10	AVL ID 12120...12129
fms.time.torque.range	number	seconds	FMS Eco driving time indexed parameter for torque range 1 to 10	AVL ID 12180...12189
fms.torque.fuel.used	number	liters	FMS Eco driving Torque fuel used	AVL ID 12027
fms.torque.mileage	number	km	FMS Eco driving Torque distance	AVL ID 12026
fms.torque.time	number	seconds	FMS Eco driving Torque time	AVL ID 12028
fms.total.fuel.used	number	liters	FMS Eco driving total fuel used	AVL ID 12036
fms.total.mileage	number	km	FMS Eco driving total distance	AVL ID 12035
fms.total.time	number	seconds	FMS Eco driving total time	AVL ID 12037
fms.vehicle.vin	string	N/A	FMS Eco driving VIN	AVL ID 12002
freezer.air.temperature	number	celsius	Freezer ambient air temperature	AVL ID 10350
freezer.battery.state	number	N/A	Freezer battery state	AVL ID 10473
freezer.battery.voltage	number	volts	Freezer battery voltage	AVL ID 10041
freezer.compressor.rpm	number	rpm	Freezer compressor RPM	AVL ID 10353
freezer.compressor.state	number	N/A	Freezer compressor configuration state	AVL ID 10354
freezer.coolant.temperature	number	celsius	Freezer coolant temperature	AVL ID 10351
freezer.datacold.ain	number	volts	Freezer datacold analog sensor	AVL ID 10468...10470
freezer.datacold.din	boolean	N/A	Freezer datacold digital sensor	AVL ID 10464...10467
freezer.datacold.maintenance	number	hours	Freezer Maintanence	AVL ID 10475...10479
freezer.datacold.sensor.temperature	number	celsius	Freezer datacold temperature sensor	AVL ID 10644...10649
freezer.door.status	number	N/A	Freezer door status bitmask	AVL ID 10355
freezer.electric.total	number	hours	Freezer electric total	AVL ID 10042
freezer.engine.total	number	hours	Freezer engine total	AVL ID 10044
freezer.error.count	number	N/A	Freezer error count	AVL ID 10352
freezer.error.data	string	N/A	Freezer error codes array hex string	AVL ID 10639
freezer.fuel.level	number	percentage	Freezer fuel level	AVL ID 10040
freezer.fuel.sensor.state	number	N/A	Freezer fuel state flags	AVL ID 10474
freezer.installation.serial	string	N/A	Freezer installation serial	AVL ID 10356
freezer.manufacturer.id	number	N/A	Fridge Manufacturer ID	AVL ID 10472
freezer.run.mode	string	N/A	Freezer run mode	AVL ID 10480
freezer.trailer.serial	string	N/A	Freezer trailer serial	AVL ID 10357
freezer.transcan.alarm.enum	number	N/A	Alarm value as reported by TK Transcan	AVL ID 10691...10694
freezer.transcan.state.enum	number	N/A	Status value as reported by TK Transcan	AVL ID 10687...10690
freezer.transcan.temperature	number	N/A	Sensor temperature reported by TK Transcan	AVL ID 10683...10686
freezer.vehicle.total	number	hours	Freezer vehicle total	AVL ID 10043
freezer.zone1.alarm.code	number	N/A	Freezer zone 1 alarm code	AVL ID 10046
freezer.zone1.alarm.type	number	N/A	Freezer zone 1 alarm type	AVL ID 10045
freezer.zone1.evaporator.coil.temperature	number	N/A	Freezer zone 1 evaporator coil temperature	AVL ID 10050
freezer.zone1.operating.mode	number	N/A	Freezer zone 1 operating mode	AVL ID 10053
freezer.zone1.return.air.temperature	number	N/A	Freezer zone 1 return air temperature	AVL ID 10047, AVL ID 10051
freezer.zone1.supply.air.temperature	number	N/A	Freezer zone 1 supply air temperature	AVL ID 10048, AVL ID 10052
freezer.zone1.temperature.setpoint	number	N/A	Freezer zone 1 temperature setpoint	AVL ID 10049
freezer.zone2.alarm.code	number	N/A	Freezer zone 2 alarm code	AVL ID 10055
freezer.zone2.alarm.type	number	N/A	Freezer zone 2 alarm type	AVL ID 10054
freezer.zone2.evaporator.coil.temperature	number	N/A	Freezer zone 2 evaporator coil temperature	AVL ID 10059
freezer.zone2.operating.mode	number	N/A	Freezer zone 2 operating mode	AVL ID 10062
freezer.zone2.return.air.temperature	number	N/A	Freezer zone 2 return air temperature	AVL ID 10056, AVL ID 10060
freezer.zone2.supply.air.temperature	number	N/A	Freezer zone 2 supply air temperature	AVL ID 10057, AVL ID 10061
freezer.zone2.temperature.setpoint	number	N/A	Freezer zone 2 temperature setpoint	AVL ID 10058
freezer.zone3.alarm.code	number	N/A	Freezer zone 3 alarm code	AVL ID 10064
freezer.zone3.alarm.type	number	N/A	Freezer zone 3 alarm type	AVL ID 10063
freezer.zone3.evaporator.coil.temperature	number	N/A	Freezer zone 3 evaporator coil temperature	AVL ID 10068
freezer.zone3.operating.mode	number	N/A	Freezer zone 3 operating mode	AVL ID 10071
freezer.zone3.return.air.temperature	number	N/A	Freezer zone 3 return air temperature	AVL ID 10065, AVL ID 10069
freezer.zone3.supply.air.temperature	number	N/A	Freezer zone 3 supply air temperature	AVL ID 10066, AVL ID 10070
freezer.zone3.temperature.setpoint	number	N/A	Freezer zone 3 temperature setpoint	AVL ID 10067
fuel.consumed	number	liters	Fuel volume totally consumed by vehicle	AVL ID 138
fuel.level	number	percentage	Fuel level percentage	AVL ID 10348, AVL ID 87
geofence.overspeeding.status	boolean	N/A	Geofence overspeeding status	AVL ID 248
geofence.status	boolean	N/A	Geofence entered status	AVL ID 153...154, AVL ID 155...159, AVL ID 155...174, AVL ID 175, AVL ID 191...198, AVL ID 208...209, AVL ID 216...231, AVL ID 327...356, AVL ID 550...599, AVL ID 61...65, AVL ID 70, AVL ID 88, AVL ID 91...99
gnss.antenna.short.circuit.status	boolean	N/A	GNSS antenna short circuit status	AVL ID 69, AVL ID 71
gnss.antenna.status	boolean	N/A	GNSS receiver antenna status	AVL ID 69, AVL ID 71
gnss.first.fix.duration	number	seconds	Amount of time it took to get first GNSS fix	AVL ID 399
gnss.jamming.state	number	N/A	GNSS jamming state	AVL ID 318
gnss.sleep.mode.status	boolean	N/A	GNSS receiver is in sleep mode	AVL ID 69, AVL ID 71
gnss.state.enum	number	N/A	Protocol-specific GNSS state code. May contain information about GNSS fix status, sleep status, ON/OFF, Overcurrent/protect state.	AVL ID 69, AVL ID 71
gnss.status	boolean	N/A	GNSS receiver on/off status	AVL ID 69, AVL ID 71
gps.fuel.rate	number	liters/h	GPS-based fuel rate	AVL ID 13
gps.fuel.used	number	liters	GPS-based fuel used	AVL ID 12
grain.moisture.level	number	percentage	Grain moisture	AVL ID 129, AVL ID 44
grain.mowing.efficiency.meters2_h	number	m^2/h	Mowing efficiency	AVL ID 127, AVL ID 42
grain.mowing.volume.kg	number	kg	Mown volume	AVL ID 128, AVL ID 43
gsm.cellid	number	N/A	Mobile network (GSM, 3G, 4G, LTE, 5G, ...) base station ID	AVL ID 13373, AVL ID 13377, AVL ID 13381, AVL ID 13385, AVL ID 13389, AVL ID 205, AVL ID 25021, AVL ID 25024, AVL ID 25027, AVL ID 25030, AVL ID 288, AVL ID 291, AVL ID 294, AVL ID 297, AVL ID 636
gsm.jamming.alarm.status	boolean	N/A	Alarm status for the Mobile network (GSM, 3G, 4G, LTE, 5G, ...) jamming	AVL ID 249
gsm.lac	number	N/A	Mobile network (GSM, 3G, 4G, LTE, 5G, ...) location area code	AVL ID 13372, AVL ID 13376, AVL ID 13380, AVL ID 13384, AVL ID 13388, AVL ID 206, AVL ID 25020, AVL ID 25023, AVL ID 25026, AVL ID 25029, AVL ID 287, AVL ID 290, AVL ID 293, AVL ID 296
gsm.mcc	number	N/A	Mobile network (GSM, 3G, 4G, LTE, 5G, ...) country code	AVL ID 13370, AVL ID 13374, AVL ID 13378, AVL ID 13382, AVL ID 13386, AVL ID 241
gsm.mnc	number	N/A	Mobile network (GSM, 3G, 4G, LTE, 5G, ...) code	AVL ID 1200, AVL ID 1201...1203, AVL ID 13371, AVL ID 13375, AVL ID 13379, AVL ID 13383, AVL ID 13387, AVL ID 241, AVL ID 25032, AVL ID 25033...25035
gsm.network.mode.enum	number	N/A	Mobile network (GSM, 3G, 4G, LTE, 5G, ...) mode: 0 – Home On Stop, 1 – Home On Moving, 2 – Roaming On Stop, 3 – Roaming On Moving, 4 – Unknown On Stop, 5 – Unknown On Moving	AVL ID 22, AVL ID 80
gsm.network.roaming.status	boolean	N/A	Mobile network (GSM, 3G, 4G, LTE, 5G, ...) in roaming mode	AVL ID 22, AVL ID 80
gsm.network.type	string	N/A	The type of the Mobile network the device is currently registered to	AVL ID 178, AVL ID 237
gsm.operator.code	string	N/A	Mobile network (GSM, 3G, 4G, LTE, 5G, ...) operator code, which is MCC joined with MNC	AVL ID 241
gsm.signal.dbm	number	dbm	Strength of the Mobile network (GSM, 3G, 4G, LTE, 5G, ...) signal	AVL ID 25019, AVL ID 25022, AVL ID 25025, AVL ID 25028, AVL ID 25031, AVL ID 286, AVL ID 289, AVL ID 292, AVL ID 295, AVL ID 298
gsm.signal.level	number	percentage	Mobile network (GSM, 3G, 4G, LTE, 5G, ...) signal strength level	AVL ID 21
gsm.signal.quality	number	N/A	The quality (bit error rate) of the Mobile network (GSM, 3G, 4G, LTE, 5G, ...) signal	AVL ID 1148, AVL ID 20017, AVL ID 25017
gsm.sim.iccid	string	N/A	Integrated Circuit Card Id of SIM card of the Mobile network (GSM, 3G, 4G, LTE, 5G, ...)	AVL ID 11, AVL ID 14, AVL ID 221, AVL ID 641, Command type 0x06
gsm.sim.imsi	string	N/A	IMSI of SIM card of the Mobile network (GSM, 3G, 4G, LTE, 5G, ...)	AVL ID 218, AVL ID 230, AVL ID 231
gsm.sim.status	boolean	N/A	SIM card is active	AVL ID 232
harsh.acceleration.event	boolean	N/A	Harsh acceleration detected	AVL ID 253
harsh.braking.event	boolean	N/A	Harsh braking detected	AVL ID 253
harsh.cornering.angle	number	degrees	Harsh cornering angle	AVL ID 254
harsh.cornering.event	boolean	N/A	Harsh cornering detected	AVL ID 253
harvest.area	number	m^2	Area of harvest	AVL ID 126, AVL ID 41
harvest.drum.gap	number	mm	Gap under harvesting drum	AVL ID 131, AVL ID 46
harvest.drum.rpm	number	rpm	Harvesting drum RPM	AVL ID 130, AVL ID 45
harvest.duration	number	seconds	Harvesting time	AVL ID 125, AVL ID 40
helmet.status	boolean	N/A	Helmet status: true - helmet is in, false - helmet is not in	AVL ID 843
ibutton.authorized.state.enum	number	N/A	iButton authorization state code	AVL ID 252
ibutton.authorized.status	boolean	N/A	iButton authorized status	AVL ID 248, AVL ID 251, AVL ID 252
ibutton.code	string	N/A	Hexadecimal code of connected iButton	AVL ID 78
ibutton.connected.status	boolean	N/A	iButton connection status	AVL ID 248, AVL ID 251
ident	string	N/A	Device unique identifier like serial number, IMEI, etc	N/A
idle.status	boolean	N/A	Vehicle is in idling state	AVL ID 177, AVL ID 243, AVL ID 251
ignition.state	number	N/A	Ignition state according to device manual	AVL ID 836
immobilizer.keys.status	boolean	N/A	Programmed sequence of keys is introduced to the immobiliser in the car	AVL ID 132, AVL ID 47
immobilizer.service.status	boolean	N/A	immobilizer is in the service mode status	AVL ID 132, AVL ID 47
immobilizer.state	string	N/A	Immobilizer state	AVL ID 251
immobilizer.state.enum	number	N/A	Immobilizer state number	AVL ID 248, AVL ID 251
instant.movement.status	boolean	N/A	Instant movement status	AVL ID 303
instrument.panel.firmware.version	string	N/A	Scooter's Instrument panel FW version	AVL ID 372
internal.battery.capacity	number	percentage	Current residual capacity percentage of internal battery	AVL ID 374
internal.battery.firmware.version	string	N/A	Firmware version of teltonika internal(IoT) battery	AVL ID 371
internal.battery.voltage	number	volts	Internal battery voltage	AVL ID 350
iso6709.coordinates	string	N/A	String with position in ISO 6709 format	AVL ID 387
issuing.member.state.card	number	N/A	Card Issuing Member State, NationNumeric as described in EEC 3821_85	AVL ID 222, AVL ID 223
kickstand.status	boolean	N/A	Kickstand status true - not released, false - released	AVL ID 819
kill.switch.status	boolean	N/A	Kill switch status: true - not active, false - active	AVL ID 818
lls.temperature	number	celsius	LLS (Liquid level sensor) fuel temperature	AVL ID 202, AVL ID 204, AVL ID 211, AVL ID 213, AVL ID 215
lls.value	number	N/A	LLS (Liquid level sensor) fuel value	AVL ID 201, AVL ID 203, AVL ID 210, AVL ID 212, AVL ID 214
lock.status	boolean	N/A	Lock status	AVL ID 344
log.file.current	number	N/A	Current active log file	AVL ID 13266
log.file.max.count	number	N/A	Max log file count	AVL ID 13267
malfunction.indicator.status	boolean	N/A	Malfunction indicator status: true - active, false - not active	AVL ID 821
mandown.alarm.status	boolean	N/A	Man down alarm activated	AVL ID 242
manual.can	number	N/A	Indexed Manual CAN parameter value	AVL ID 10216...10235, AVL ID 10298...10347, AVL ID 145...154, AVL ID 380...389
manual.can.extended	string	N/A	HEX representation of Manual CAN Extended	AVL ID 10358
manual.can.hex	string	N/A	Indexed manual CAN parameter value in HEX representation	AVL ID 10216...10235, AVL ID 10298...10347, AVL ID 145...154, AVL ID 380...389
max.x.acceleration	number	g	Harsh acceleration event max accelerometer value on X-axis	AVL ID 258
max.y.acceleration	number	g	Harsh acceleration event max accelerometer value on Y-axis	AVL ID 258
max.z.acceleration	number	g	Harsh acceleration event max accelerometer value on Z-axis	AVL ID 258
media	boolean	N/A	Message contain media file	N/A
media.image	object	N/A	Image file in media storage	N/A
media.type.enum	number	N/A	Media type enum	N/A
media.type.enum.description	string	N/A	Media type enum description	N/A
media.video	object	N/A	Video file in media storage	N/A
mobileye.brake.signal.status	boolean	N/A	Mobileye brake signal status, true - brake signal is on, false - brake signal is off	AVL ID 313
mobileye.dusk.status	boolean	N/A	Mobileye dusk time indicator	AVL ID 291
mobileye.error.code	number	N/A	Mobileye error code	AVL ID 293
mobileye.error.valid.status	boolean	N/A	Mobileye error is valid status	AVL ID 292
mobileye.failsafe.mode.status	boolean	N/A	Mobileye indocator of failsafe mode activation	AVL ID 301
mobileye.forward.collision.warning.status	boolean	N/A	Mobileye indicator of forward collision warning event status	AVL ID 302
mobileye.headway.measurement	number	seconds	Mobileye headway measurement, 0 means no closest in-path vehicle on the range	AVL ID 296
mobileye.headway.valid.status	boolean	N/A	Mobileye headway valid status	AVL ID 295
mobileye.headway.warning.level	number	N/A	Mobileye headway warning level	AVL ID 305
mobileye.headway.warning.repeat.enabled.status	boolean	N/A	Mobileye headway warning repeat enabled status	AVL ID 304
mobileye.high.beam.available.status	boolean	N/A	Mobileye high beam available status, true - high beam available, false - high beam not available	AVL ID 316
mobileye.high.beam.status	boolean	N/A	Mobileye high beam status, true - high beam on, false - high beam off	AVL ID 308
mobileye.internal.error.status	boolean	N/A	Mobileye indicator of internal error. See user manual for details	AVL ID 300
mobileye.lane.departure.left.warning.status	boolean	N/A	Mobileye indicator of left lane departure warning event status	AVL ID 298
mobileye.lane.departure.right.warning.status	boolean	N/A	Mobileye indicator of right lane departure warning event status	AVL ID 299
mobileye.lane.departure.warnings.status	boolean	N/A	Mobileye lane departure warnings status, true - wanrings enabled, false - warnings disabled due to low speed or configuration	AVL ID 297
mobileye.left.blink.available.status	boolean	N/A	Mobileye left blink available status, true - left blink available, false - left blink not available	AVL ID 312
mobileye.low.beam.available.status	boolean	N/A	Mobileye low beam available status, true - low beam available, false - low beam not available	AVL ID 315
mobileye.low.beam.status	boolean	N/A	Mobileye low beam status, true - low beam on, false - low beam off	AVL ID 309
mobileye.movement.status	boolean	N/A	Mobileye host vehicle is moving status	AVL ID 294
mobileye.night.status	boolean	N/A	Mobileye night time indicator	AVL ID 291
mobileye.pedestrian.collision.warning.status	boolean	N/A	Mobileye indicator of pedestrians collision warning	AVL ID 290
mobileye.pedestrian.danger.zone.status	boolean	N/A	Mobileye indicator of pedestrians in danger zone	AVL ID 289
mobileye.right.blink.available.status	boolean	N/A	Mobileye right blink available status, true - right blink available, false - right blink not available	AVL ID 311
mobileye.sound.type	number	N/A	Mobileye sound type	AVL ID 288
mobileye.speed	number	km/h	Mobileye speed	AVL ID 318
mobileye.speed.available.status	boolean	N/A	Mobileye speed available status, true - speed available, false - speed not available	AVL ID 317
mobileye.tamper.status	boolean	N/A	Mobileye indicator of tamper alert (tamper alert is activated if there is no vehicle or lane detection for duration of 10 minutes; tamper alert is active above 15 km/h	AVL ID 307
mobileye.traffic.signs.recognition.status	boolean	N/A	Mobileye traffic signs recognition enabled status	AVL ID 303
mobileye.traffic.signs.speed.warning.level	number	N/A	Mobileye traffic signs recongition system's warning level	AVL ID 306
mobileye.wipers.available.status	boolean	N/A	Mobileye wipers available status, true - wipers available, false - wipers not available	AVL ID 314
mobileye.wipers.status	boolean	N/A	Mobileye wipers status, true - wiper passes the windshield, false - wiper is static	AVL ID 310
modem.uptime	number	seconds	The total time the modem has been powered on	AVL ID 20015, AVL ID 25015
movement.event	boolean	N/A	Movement detected	AVL ID 310
movement.status	boolean	N/A	Current movement state	AVL ID 240
negative.input.status	boolean	N/A	Negative input connection to ground status: true - connected, false - disconnected	AVL ID 381
network.lte.band	number	N/A	LTE band	AVL ID 1149
network.signal.rsrp	number	dbm	LTE reference signal received power (RSRP)	AVL ID 1148, AVL ID 20016, AVL ID 25016
network.signal.rssi	number	dbm	Network signal strength	AVL ID 1148
network.signal.sinr	number	dbm	Network Singal to Interference plus Noise ratio	AVL ID 1148
onewire.sensor.serial	string	N/A	External 1-Wire sensor serial number in HEX representation	AVL ID 5, AVL ID 62...65, AVL ID 7, AVL ID 71, AVL ID 75, AVL ID 76, AVL ID 77, AVL ID 79
operating.mode.enum	number	N/A	Protocol-specific device operating mode	AVL ID 349, AVL ID 831
overspeeding.speed	number	km/h	GNSS based speed when overspeeding event is triggered	AVL ID 255
overspeeding.status	boolean	N/A	Overspeeding detected	AVL ID 153...154, AVL ID 155...159, AVL ID 155...174, AVL ID 191...198, AVL ID 208...209, AVL ID 216...231, AVL ID 255, AVL ID 327...356, AVL ID 550...599, AVL ID 61...65, AVL ID 70, AVL ID 88, AVL ID 91...99
park.brake.status	boolean	N/A	Park brake status: true - active, false - not active	AVL ID 801, AVL ID 832
payload.hex	string	N/A	HEX Payload received from device	AVL ID 10611...10612, Command type 0x06
payload.text	string	N/A	Text Payload received from device	Command type 0x05, Command type 0x06
pcb.firmware.enum	number	N/A	Firmware version of the teltonika PCB	AVL ID 340
pcb.temperature	number	celsius	PCB temperature	AVL ID 70
peer	string	N/A	IP:port from which device connecting to the channel	N/A
phone.call.state.enum	number	N/A	Phone call status	AVL ID 13361
position.altitude	number	meters	Altitude value for position	Command type 0x06
position.direction	number	degrees	Heading angle at position detection moment	Command type 0x06
position.fix.age	number	seconds	Time since the last position fix	AVL ID 386
position.hdop	number	N/A	Horizontal dilution of precision	AVL ID 182
position.latitude	number	degrees	Latitude coordinate value	Command type 0x06
position.longitude	number	degrees	Longitude coordinate value	Command type 0x06
position.media.latitude	number	N/A	Latitude recorded by a media device. For example, a camera	N/A
position.media.longitude	number	N/A	Longitude recorded by a media device. For example, a camera	N/A
position.pdop	number	N/A	Position dilution of precision	AVL ID 181
position.satellites	number	N/A	Quantity of satellites used to calculate coordinates for given position information	Command type 0x06
position.speed	number	km/h	Instant speed at position detection moment	AVL ID 24, Command type 0x06
position.valid	boolean	N/A	Is position information accurate and valid for given timestamp	AVL ID 69, AVL ID 71, Command type 0x06
power.consumtion	number	Wh/km	Vehicle power consumtion	AVL ID 838
power.on.status	boolean	N/A	Power-on device status	AVL ID 390
powertrain.state	number	N/A	Powertrain state	AVL ID 820
predicted.remaining.mileage	number	km	Predicted remaining mileage	AVL ID 354
private.status	boolean	N/A	Device is in private mode	AVL ID 250, AVL ID 391
protocol.id	number	N/A	ID of protocol	N/A
proximity.duration	number	seconds	Proximity violation duration	AVL ID 890
proximity.violation.ident	string	N/A	IMEI of the device which violates personal space	AVL ID 875
proximity.violation.mac.address	string	N/A	MAC address which violates personal space	AVL ID 875
proximity.violation.reason	number	N/A	Cause of Proximity violation	AVL ID 889
proximity.violation.state	number	N/A	Bitmask describing the causes of proximity violation	AVL ID 874
pto.drive.engagement.enum	number	N/A	PTO drive engagement. 0 - No PTO drive is engaged. 1 - At least one PTO drive is engaged, 2 - Error, 3 - Not available	AVL ID 137
recovery.alarm	boolean	N/A	Recovery alarm	AVL ID 20012
remaining.range	number	km	Current remaining range	AVL ID 822
rfid.code	string	N/A	Hexadecimal code of connected RFID	AVL ID 207, AVL ID 217
scooter.battery.level	number	percentage	Scooter battery level	AVL ID 352
sd.status	boolean	N/A	SD status presence	AVL ID 10, AVL ID 144
segment.can.fuel.consumed	number	liters	Fuel volume consumed by vehicle on the last segment using CAN data	AVL ID 110, AVL ID 18
segment.can.vehicle.mileage	number	km	Vehicle mileage on the last segment using CAN data	AVL ID 134
segment.vehicle.mileage	number	km	Segment mileage	AVL ID 199, AVL ID 357
sensor.humidity	number	percentage	Humidity sensor value, i.e. relative air humidity level	AVL ID 10487...10492
sensor.temperature	number	celsius	Temperature sensor value	AVL ID 6, AVL ID 72...74, AVL ID 72...75, AVL ID 75, AVL ID 8
sensor.temperature.error.code	string	N/A	Temperature sensor error description	AVL ID 72...75
server.timestamp	number	seconds	Timestamp when server received a message	N/A
sim.card.error.count	number	N/A	Error counter for No Sim Card error	AVL ID 13200
sleep.mode.enum	number	N/A	Protocol-specific value indicating device sleep mode state	AVL ID 200
software.version	string	N/A	Software version string	AVL ID 340
supersoco.battery.capacity	number	N/A	SuperSoco battery capacity left	AVL ID 858
supersoco.battery.energy	number	N/A	SuperSoco battery energy	AVL ID 867
supersoco.current.trip.range	number	N/A	SuperSoco current trip range	AVL ID 856
supersoco.fw.version	number	N/A	SuperSoco vehicle firmware version	AVL ID 865
supersoco.instrument.system.error	string	N/A	SuperSoco instrument system error	AVL ID 870
supersoco.lock.status	boolean	N/A	SuperSoco lock status	AVL ID 864
supersoco.moving.abnormal.status	boolean	N/A	SuperSoco moving abnormal status	AVL ID 862
supersoco.power.status	boolean	N/A	SuperSoco power status: true - ON, false - OFF	AVL ID 855
supersoco.power.system.error	string	N/A	SuperSoco power system error	AVL ID 868
