Parameter	Type	Unit	Description	Sources
can.maintenance.required.status	boolean	N/A	Maintenance required status, read from CAN	AVL ID 123, AVL ID 38, AVL ID 519
can.major.version	string	N/A	Major version from CAN bus in hex form	AVL ID 1156
can.malfunction.general.failure.indicator.state	string	N/A	Vehicle parameter for malfunction/general failure indicator read from CAN	AVL ID 10429
can.manual.retarder.status	boolean	N/A	Manual retarder status, read from CAN	AVL ID 123, AVL ID 38, AVL ID 518
can.max.available.power	number	W	Maximum available power from CAN bus	AVL ID 1126
can.max.charge.current	number	amperes	Max charge current from CAN bus	AVL ID 1181
can.max.discharge.current	number	amperes	Max discharge current from CAN bus	AVL ID 1149
can.mil.mileage	number	km	Distance traveled while malfunction indicator lamp is activated, read from CAN	AVL ID 43
can.mil.status	boolean	N/A	Malfunction indicator lamp status read from CAN	AVL ID 10349, AVL ID 519
can.mil.time	number	hours	Time run with malfunction indicator lamp activated, read from CAN	AVL ID 54
can.minor.version	string	N/A	Minor version from CAN bus in hex form	AVL ID 1157
can.module.id	number	N/A	CAN module ID	AVL ID 101, AVL ID 13
can.module.id.hex	string	N/A	CAN module ID in HEX format	AVL ID 388
can.module.sleep.mode	boolean	N/A	CAN module goes to the sleep mode	AVL ID 132, AVL ID 47, AVL ID 517, AVL ID 924
can.motor.failures.indicator.state	string	N/A	Vehicle parameter for electric motor failures indicator read from CAN	AVL ID 13259
can.motor.limited.performance.indicator.state	string	N/A	Vehicle parameter for limited performance electric motor indicator read from CAN	AVL ID 13259
can.motor.status	boolean	N/A	Electric motor status	AVL ID 517, AVL ID 916
can.mowing.status	boolean	N/A	Mowing is active status, read from CAN bus	AVL ID 520
can.multiplex.system.indicator.state	string	N/A	Vehicle parameter for multiplex system indicator read from CAN bus	AVL ID 13259
can.neutral.gear.status	boolean	N/A	CAN neutral gear is on	AVL ID 517, AVL ID 659
can.oil.level.low.indicator.status	boolean	N/A	Oil level low indicator status read from CAN bus	AVL ID 519
can.oil.pressure.indicator.status	boolean	N/A	Oil pressure indicator status read from CAN bus	AVL ID 123, AVL ID 38, AVL ID 519
can.oil.service.mileage	number	km	Distance to next oil service	AVL ID 864
can.oil.service.time	number	days	Time to next oil service	AVL ID 865
can.operator.present.status	boolean	N/A	Operator is present status, read from CAN bus	AVL ID 517, AVL ID 905
can.park.heating.indicator.state	string	N/A	Vehicle parameter for park heating indicator read from CAN	AVL ID 10429
can.parking.brake.indicator.state	string	N/A	Vehicle parameter for parking brake indicator read from CAN	AVL ID 10428
can.parking.brake.status	boolean	N/A	Parking break status from CAN	AVL ID 1179
can.parking.lights.status	boolean	N/A	Parking light status, read from CAN	AVL ID 123, AVL ID 38, AVL ID 518
can.parking.status	boolean	N/A	Parking is activated for automatic gearbox, read from CAN	AVL ID 132, AVL ID 47, AVL ID 517, AVL ID 660
can.part.charge.capacity	number	Ah	Part charge capacity	AVL ID 1153
can.passenger.seatbelt.indicator.status	boolean	N/A	Passenger seatbelt indicator status read from CAN	AVL ID 123, AVL ID 38
can.patch.version	string	N/A	Patch version from CAN bus in hex form	AVL ID 1158
can.pedal.brake.status	boolean	N/A	Footbrake pedal is depressed, read from CAN	AVL ID 132, AVL ID 47, AVL ID 517, AVL ID 79, AVL ID 816, AVL ID 910
can.pedal.clutch.status	boolean	N/A	CAN clutch pedal pressed	AVL ID 517, AVL ID 82, AVL ID 911
can.position.lights.indicator.state	string	N/A	Vehicle parameter for position lights/side lights indicator read from CAN	AVL ID 10428
can.powersource.takeoff.enum	number	N/A	CAN power takeoff bitmask	AVL ID 83
can.pram.request.indicator.state	string	N/A	Vehicle parameter for pram request indicator read from CAN	AVL ID 10430
can.pressure.filter.cloged.status	boolean	N/A	Pressure filter of the hydraulic pump is clogged, read from CAN	AVL ID 520
can.private.status	boolean	N/A	Vehicle works in private mode, read from CAN bus	AVL ID 132, AVL ID 47, AVL ID 517, AVL ID 904
can.program.id	number	N/A	CAN program number	AVL ID 100, AVL ID 12
can.pto.status	boolean	N/A	Power take-off status, read from CAN	AVL ID 518
can.pumping.torque	number	percentage	Estimated pumping - percent torque	AVL ID 944
can.raising.indicator.state	string	N/A	Vehicle parameter for raising indicator read from CAN	AVL ID 10430
can.ready.to.drive.indicator.status	boolean	N/A	Ready to drive indicator status, read from CAN	AVL ID 123, AVL ID 38, AVL ID 517, AVL ID 902
can.rear.brake.status	boolean	N/A	Rear brake status from CAN bus	AVL ID 1128
can.rear.central.seatbelt.status	boolean	N/A	Rear central seatbelt fastened status, read from CAN	AVL ID 518
can.rear.differential.status	boolean	N/A	Rear differential locked status, read from CAN	AVL ID 518
can.rear.fog.light.indicator.state	string	N/A	Vehicle parameter for rear fog light indicator read from CAN	AVL ID 10429
can.rear.fog.lights.status	boolean	N/A	CAN rear fog lights are on	AVL ID 123, AVL ID 38, AVL ID 518
can.rear.hydraulic.status	boolean	N/A	Read hydraulic turned on status, read from CAN	AVL ID 520
can.rear.left.door.status	boolean	N/A	CAN rear left door is opened	AVL ID 132, AVL ID 143, AVL ID 47, AVL ID 517, AVL ID 656, AVL ID 90
can.rear.left.seatbelt.status	boolean	N/A	Rear left seatbelt fastened status, read from CAN	AVL ID 518
can.rearm.signal.event	boolean	N/A	Rearm signal was sent	AVL ID 517, AVL ID 922
can.rear.pto.status	boolean	N/A	Rear power take-off status turned on status, read from CAN	AVL ID 520
can.rear.right.door.status	boolean	N/A	CAN rear right door is opened	AVL ID 132, AVL ID 143, AVL ID 47, AVL ID 517, AVL ID 657, AVL ID 90
can.rear.right.seatbelt.status	boolean	N/A	Rear right seatbelt fastened status, read from CAN	AVL ID 518
can.rear.three.point.hitch.status	boolean	N/A	Rear three-point hitch turned on status, read from CAN	AVL ID 520
can.recognized.batteries	number	N/A	Recognized batteries from CAN bus	AVL ID 1159
can.recuperation.status	boolean	N/A	Recuperation status from CAN bus	AVL ID 1150
can.relative.fuel.rail.pressure	number	kPa	Fuel rail pressure relative to manifold vacuum	AVL ID 44
can.remote.accelerator.pedal.position	number	percentage	The ratio of actual position of the remote analog engine speed/torque request input device (such as an accelerator pedal or throttle lever) to the maximum position of the input device	AVL ID 937
can.request.engine.lock.event	boolean	N/A	Request to lock the engine (activation after attempt to restart the engine) event	AVL ID 517, AVL ID 908
can.retarder.indicator.state	string	N/A	Vehicle parameter for retarder indicator read from CAN	AVL ID 10430
can.reverse.gear.status	boolean	N/A	CAN reverse gear is on	AVL ID 132, AVL ID 47, AVL ID 517, AVL ID 661
can.right.joystick.back.event	boolean	N/A	Right joystick moved back active, read from CAN	AVL ID 520
can.right.joystick.forward.event	boolean	N/A	Right joystick moved forward active, read from CAN	AVL ID 520
can.right.joystick.left.event	boolean	N/A	Right joystick moved left active, read from CAN	AVL ID 520
can.right.joystick.right.event	boolean	N/A	Right joystick moved right active, read from CAN	AVL ID 520
can.road.speed.limit.state	number	N/A	Road speed limit status	AVL ID 932
can.roof.opened.status	boolean	N/A	Roof is opened status, read from CAN	AVL ID 517, AVL ID 909
can.scr.thermal.management.state	number	N/A	SCR thermal management active	AVL ID 942
can.seat.belt.indicator.state	string	N/A	Vehicle parameter for seat belt indicator read from CAN	AVL ID 10431
can.service.last.mileage	number	km	Distance from last service	AVL ID 860
can.service.last.time	number	days	Time from last serivce	AVL ID 863
can.service.maintenance.indicator.state	string	N/A	Vehicle parameter for service/call for maintenance indicator read from CAN	AVL ID 10429
can.service.mileage	number	km	Service distance read from CAN	AVL ID 113, AVL ID 400, AVL ID 402
can.service.required.mileage	number	km	Distance from need of service	AVL ID 859
can.service.required.time	number	days	Time from need of service	AVL ID 862
can.service.time	number	days	Time to next service	AVL ID 861
can.short.fuel.trim	number	percentage	Short term fuel trim read from CAN	AVL ID 33
can.sn.high	string	N/A	SN High from CAN bus	AVL ID 1132
can.sn.low	string	N/A	SN Low from CAN bus	AVL ID 1133
can.soc.switch.level	number	percentage	SoC switch level from CAN bus	AVL ID 1152
can.soot.filter.indicator.status	boolean	N/A	DPF/FAP soot filter indicator status, read from CAN	AVL ID 123, AVL ID 38
can.standalone.engine	boolean	N/A	Standalone engine status read from CAN	AVL ID 517, AVL ID 901
can.steering.failure.indicator.state	string	N/A	Vehicle parameter for steering failure indicator read from CAN	AVL ID 10430
can.steering.fluid.level.indicator.state	string	N/A	Vehicle parameter for steering fluid level indicator read from CAN	AVL ID 10429
can.stop.indicator.status	boolean	N/A	STOP indicator status read from CAN	AVL ID 123, AVL ID 38, AVL ID 519
can.stop.request.indicator.state	string	N/A	Vehicle parameter for stop request indicator read from CAN	AVL ID 10430
can.straw.chopper.speed.status	boolean	N/A	Straw chopper speed normal status, read from CAN: true - Ok, false - below normal	AVL ID 520
can.straw.chopper.status	boolean	N/A	Straw chopper switched on status, read from CAN	AVL ID 520
can.straw.shaker.speed.status	boolean	N/A	Straw shaler speed normal status, read from CAN: true - Ok, false - below normal	AVL ID 520
can.straw.walker.clogged.status	boolean	N/A	Straw walker is clogged status, read from CAN	AVL ID 520
can.switch.process.status	boolean	N/A	Switch process status from CAN bus	AVL ID 1151
can.tachograph.indication.indicator.state	string	N/A	Vehicle parameter for tachograph indication read from CAN	AVL ID 10431
can.threshing.drum.control.status	boolean	N/A	Threshing drum status: true - on, false - off, read from CAN	AVL ID 520
